Persona,Chapter,Iteration,Grammar_Score,Naturalness_Score,Logic_Score,Average_Score
A,1,1,50,40,60,50.00
A,1,2,70,65,75,70.00
A,1,3,70,65,75,70.00
A,1,4,85,80,90,85.00
A,1,5,95,90,95,93.33
A,2,1,75,70,80,75.00
A,2,2,85,80,90,85.00
A,2,3,85,80,75,80.00
A,2,4,85,80,90,85.00
A,2,5,85,80,90,85.00
A,3,1,70,65,75,70.00
A,3,2,75,70,80,75.00
A,3,3,85,80,90,85.00
A,3,4,85,80,90,85.00
A,3,5,85,80,90,85.00
B,1,1,50,40,45,45.00
B,1,2,70,65,75,70.00
B,1,3,85,80,90,85.00
B,1,4,75,70,80,75.00
B,1,5,75,70,65,70.00
B,2,1,70,65,75,70.00
B,2,2,75,70,80,75.00
B,2,3,75,70,80,75.00
B,2,4,75,70,80,75.00
B,2,5,85,80,90,85.00
B,3,1,60,55,70,61.67
B,3,2,85,80,90,85.00
B,3,3,75,70,80,75.00
B,3,4,100,100,100,100.00
B,3,5,95,90,93,92.67
C,1,1,60,55,65,60.00
C,1,2,95,90,95,93.33
C,1,3,85,80,90,85.00
C,1,4,85,80,90,85.00
C,1,5,85,80,90,85.00
C,2,1,85,80,90,85.00
C,2,2,75,70,80,75.00
C,2,3,85,80,90,85.00
C,2,4,95,90,92,92.33
C,2,5,95,90,92,92.33
C,3,1,85,80,90,85.00
C,3,2,85,80,90,85.00
C,3,3,95,90,95,93.33
C,3,4,85,80,90,85.00
C,3,5,85,80,90,85.00
D,1,1,95,90,98,94.33
D,1,2,85,80,90,85.00
D,1,3,95,90,100,95.00
D,1,4,100,100,100,100.00
D,1,5,95,90,95,93.33
D,2,1,85,80,90,85.00
D,2,2,60,65,75,66.67
D,2,3,95,90,93,92.67
D,2,4,85,80,90,85.00
D,2,5,85,80,90,85.00
D,3,1,40,30,50,40.00
D,3,2,60,50,70,60.00
D,3,3,75,70,80,75.00
D,3,4,85,80,90,85.00
D,3,5,95,90,92,92.33
E,1,1,70,65,75,70.00
E,1,2,75,70,80,75.00
E,1,3,75,70,80,75.00
E,1,4,75,70,80,75.00
E,1,5,85,80,90,85.00
E,2,1,75,70,80,75.00
E,2,2,75,70,80,75.00
E,2,3,85,80,75,80.00
E,2,4,75,70,80,75.00
E,2,5,85,80,75,80.00
E,3,1,95,90,92,92.33
E,3,2,100,100,100,100.00
E,3,3,85,80,90,85.00
E,3,4,95,90,95,93.33
E,3,5,85,80,90,85.00
F,1,1,85,80,90,85.00
F,1,2,75,70,80,75.00
F,1,3,95,90,95,93.33
F,1,4,95,90,92,92.33
F,1,5,85,75,80,80.00
F,2,1,60,55,65,60.00
F,2,2,85,80,90,85.00
F,2,3,85,80,90,85.00
F,2,4,85,80,90,85.00
F,2,5,85,80,90,85.00
F,3,1,60,55,65,60.00
F,3,2,50,45,55,50.00
F,3,3,70,65,75,70.00
F,3,4,60,55,65,60.00
F,3,5,60,55,65,60.00
G,1,1,70,65,75,70.00
G,1,2,75,70,80,75.00
G,1,3,85,80,90,85.00
G,1,4,85,80,75,80.00
G,1,5,85,80,90,85.00
G,2,1,75,70,80,75.00
G,2,2,85,80,90,85.00
G,2,3,85,80,90,85.00
G,2,4,85,80,90,85.00
G,2,5,95,85,90,90.00
G,3,1,70,75,80,75.00
G,3,2,85,80,90,85.00
G,3,3,85,80,90,85.00
G,3,4,75,70,80,75.00
G,3,5,75,70,80,75.00
H,1,1,85,80,90,85.00
H,1,2,85,80,90,85.00
H,1,3,85,80,90,85.00
H,1,4,85,80,90,85.00
H,1,5,85,80,90,85.00
H,2,1,60,50,55,55.00
H,2,2,60,50,55,55.00
H,2,3,40,30,50,40.00
H,2,4,60,50,55,55.00
H,2,5,50,40,45,45.00
H,3,1,85,80,90,85.00
H,3,2,95,90,92,92.33
H,3,3,95,90,95,93.33
H,3,4,95,90,95,93.33
H,3,5,95,90,95,93.33
I,1,1,60,55,65,60.00
I,1,2,70,75,80,75.00
I,1,3,85,80,90,85.00
I,1,4,85,80,90,85.00
I,1,5,95,90,95,93.33
I,2,1,75,70,80,75.00
I,2,2,85,80,90,85.00
I,2,3,75,70,80,75.00
I,2,4,85,80,90,85.00
I,2,5,85,80,90,85.00
I,3,1,75,70,80,75.00
I,3,2,85,80,90,85.00
I,3,3,95,90,95,93.33
I,3,4,95,90,95,93.33
I,3,5,95,90,95,93.33
J,1,1,85,75,90,83.33
J,1,2,85,80,90,85.00
J,1,3,75,70,80,75.00
J,1,4,75,70,80,75.00
J,1,5,85,80,90,85.00
J,2,1,85,70,75,76.67
J,2,2,70,60,65,65.00
J,2,3,60,50,55,55.00
J,2,4,85,80,90,85.00
J,2,5,95,90,98,94.33
J,3,1,75,70,80,75.00
J,3,2,95,90,93,92.67
J,3,3,85,80,90,85.00
J,3,4,95,90,95,93.33
J,3,5,85,80,90,85.00
