Persona,Phase,Score_Grammar,Score_Naturalness,Score_Fluency,Source_File
A,反復練習1回目,75,80,85,A_personalized_iteration_1.txt
A,反復練習2回目,85,80,90,A_personalized_iteration_2.txt
A,反復練習3回目,75,70,80,A_personalized_iteration_3.txt
A,反復練習4回目,85,90,95,A_personalized_iteration_4.txt
A,反復練習5回目,95,90,95,A_personalized_iteration_5.txt
B,反復練習1回目,85,80,90,B_personalized_iteration_1.txt
B,反復練習2回目,85,80,90,B_personalized_iteration_2.txt
B,反復練習3回目,95,90,93,B_personalized_iteration_3.txt
B,反復練習4回目,95,90,95,B_personalized_iteration_4.txt
B,反復練習5回目,95,90,98,B_personalized_iteration_5.txt
C,反復練習1回目,85,80,90,C_personalized_iteration_1.txt
C,反復練習2回目,100,100,100,C_personalized_iteration_2.txt
C,反復練習3回目,85,80,90,C_personalized_iteration_3.txt
C,反復練習4回目,85,80,90,C_personalized_iteration_4.txt
C,反復練習5回目,95,90,98,C_personalized_iteration_5.txt
D,反復練習1回目,75,70,80,D_personalized_iteration_1.txt
D,反復練習2回目,95,90,95,D_personalized_iteration_2.txt
D,反復練習3回目,85,80,90,D_personalized_iteration_3.txt
D,反復練習4回目,85,80,90,D_personalized_iteration_4.txt
D,反復練習5回目,95,90,100,D_personalized_iteration_5.txt
E,反復練習1回目,75,70,80,E_personalized_iteration_1.txt
E,反復練習2回目,95,90,95,E_personalized_iteration_2.txt
E,反復練習3回目,85,80,90,E_personalized_iteration_3.txt
E,反復練習4回目,95,90,92,E_personalized_iteration_4.txt
E,反復練習5回目,85,80,90,E_personalized_iteration_5.txt
F,反復練習1回目,70,65,75,F_personalized_iteration_1.txt
F,反復練習2回目,85,80,90,F_personalized_iteration_2.txt
F,反復練習3回目,85,80,90,F_personalized_iteration_3.txt
F,反復練習4回目,85,80,90,F_personalized_iteration_4.txt
F,反復練習5回目,85,80,90,F_personalized_iteration_5.txt
G,反復練習1回目,65,60,70,G_personalized_iteration_1.txt
G,反復練習2回目,75,70,80,G_personalized_iteration_2.txt
G,反復練習3回目,75,70,85,G_personalized_iteration_3.txt
G,反復練習4回目,95,90,93,G_personalized_iteration_4.txt
G,反復練習5回目,95,90,95,G_personalized_iteration_5.txt
H,反復練習1回目,85,80,90,H_personalized_iteration_1.txt
H,反復練習2回目,85,80,90,H_personalized_iteration_2.txt
H,反復練習3回目,95,90,95,H_personalized_iteration_3.txt
H,反復練習4回目,95,90,95,H_personalized_iteration_4.txt
H,反復練習5回目,95,90,95,H_personalized_iteration_5.txt
I,反復練習1回目,75,70,80,I_personalized_iteration_1.txt
I,反復練習2回目,85,80,90,I_personalized_iteration_2.txt
I,反復練習3回目,85,80,90,I_personalized_iteration_3.txt
I,反復練習4回目,85,80,90,I_personalized_iteration_4.txt
I,反復練習5回目,85,80,90,I_personalized_iteration_5.txt
J,反復練習1回目,65,60,70,J_personalized_iteration_1.txt
J,反復練習2回目,85,80,75,J_personalized_iteration_2.txt
J,反復練習3回目,85,80,90,J_personalized_iteration_3.txt
J,反復練習4回目,95,90,98,J_personalized_iteration_4.txt
J,反復練習5回目,95,85,90,J_personalized_iteration_5.txt
